Ablation,N_features,AUROC,AUPRC,MCC
Best Single (ESM1b-MLM),1,0.8810025698710204,0.8992672838645606,0.6083975630854928
Protein MLM Only,5,0.9096846758228447,0.9262040572087306,0.6654002810087791
Nucleotide MLM Only,4,0.6501775610373299,0.7161572510509175,0.20078414991473043
Protein Cosine Only,6,0.8713863358623148,0.8960110405275146,0.5746767865179847
Nucleotide Cosine Only,5,0.6220618817381,0.6789717540579785,0.1723673035942845
All Protein (MLM+Cos),11,0.923702566167814,0.9372483019558159,0.6982301213606988
All Nucleotide (MLM+Cos),9,0.6989861604229062,0.7609788841362977,0.2803169144017507
All Foundation Models,20,0.9280344016312624,0.9406041279672145,0.7071479794044774
Foundation + Physicochemical,23,0.9310206422903098,0.9431999331720643,0.7151856844421072
