Ablation,N_features,AUROC,AUPRC,MCC
Best Single (ESM1b-MLM),1,0.9020839948433076,0.8769982180902068,0.6724556624666284
Protein MLM Only,5,0.920471821638585,0.9034367659699398,0.7019008261298623
Nucleotide MLM Only,4,0.6269296923824346,0.5566472929182893,0.2042148926215085
Protein Cosine Only,6,0.8690204640798681,0.825193220290796,0.5679673520082327
Nucleotide Cosine Only,5,0.5931553773327694,0.5197406485522316,0.13687525332692554
All Protein (MLM+Cos),11,0.9334432141138086,0.9170086589462074,0.7235979500829776
All Nucleotide (MLM+Cos),9,0.6653047508664611,0.6115039792892636,0.2740576799742825
Protein + Nucleotide MLM,9,0.9206580729274774,0.9009232797229455,0.7043123857632939
All Foundation Models,20,0.9374936186493639,0.9220701460459962,0.7233451456318075
Foundation + Physicochemical,29,0.9509396153125487,0.9367817455735966,0.7548117732357452
Foundation + AlphaMissense,11,0.9821703660735422,0.9734743637044609,0.8793683543546137
Foundation + REVEL,10,0.9788335508135031,0.9708400096635023,0.8620426300507144
Full Ensemble (All),31,0.9867952324158025,0.9811783438097761,0.8987690249147215
