feature,importance
REVEL,0.36243263
AlphaMissense,0.11377472
esm1b_mlm,0.06875715
normalized_position,0.026233714
esm2_mlm,0.02403854
protbert_mlm,0.023683447
esm1v_mlm,0.023522051
esm3_mlm,0.02189905
log_position,0.020735629
blosum62,0.018424131
log_protein_length,0.01689687
ntv2_cos,0.015600726
ankh_cos,0.015554679
esm2_cos,0.014091686
is_proline_change,0.014050338
protbert_cos,0.013926285
prott5_cos,0.0136541985
esm1b_cos,0.013593641
is_cysteine_change,0.01357576
hydrophobicity_change,0.01353101
esm1v_cos,0.013467452
charge_change,0.012798977
grantham,0.012632603
ntv2_mlm,0.012278635
ankh_mlm,0.012137909
prott5_mlm,0.012052873
dnabert2_cos,0.011770523
dnabert1_mlm,0.011703758
genalm_mlm,0.011245165
genalm_cos,0.011146973
hyenadna_cos,0.010425228
dnabert2_mlm,0.010195557
dnabert1_cos,0.010168054
